"íxÇÍì˙êî","ïiñ⁄î‘çÜ","ãüããé“","égópé“","êÊçsÇkÅ^Çs","ÇoÅ^ÇeÅiëóÇËêÊÅj","äiî[ÉçÉP","ïiñ⁄ñºèÃ","ÉIÅ[É_Å[ÇmÇè","éwé¶ì˙","î[ì¸éûçè","éwé¶êîó ","écêîó ","ê∂ééãÊï™","type"
0,"69J4113111CA80","6298","9550",0,"MF10","AD2","MANIFOLD, EXT. 1","00774",20240516,1100,10,10,,"T2"
0,"69J4113710CA80","6298","9550",0,"MF10","AD2","GUIDE, EXHAUST","00774",20240516,1100,10,10,,"T2"
0,"6KA45511000080","93B4","9523",0,"MF16","AC1","SHAFT,DRIVE 1","00826",20240516,1000,100,100,,"T"
0,"6AW45511100080","93B4","9523",0,"MF16","AC1","SHAFT,DRIVE 1","00491",20240516,1000,10,10,,"T"
0,"6CE45511000080","93B4","9523",0,"MF16","AC1","SHAFT,DRIVE 1","00351",20240516,1000,4,4,,"T"
0,"6CE45511100080","93B4","9523",0,"MF16","AC1","SHAFT,DRIVE 1","00753",20240516,1000,1,1,,"T"
0,"6AW45611000080","93B4","9523",0,"MF16","AC1","SHAFT,PROPELLER","00218",20240516,1000,28,28,,"T"
0,"6JD45511000080","93B4","9523",0,"MF16","AC1","SHAFT,DRIVE 1","00581",20240516,1000,25,25,,"T"
0,"6MLY126A000080","6451","9543",0,"MF15","A0A","AIR SHROUD,CYLINDER 3 SUB","00098",20240516,1000,50,50,,"T"
0,"6GR24596010080","6451","9543",0,"MF15","A0A","COVER","00575",20240516,1000,10,10,,"T"
0,"6EK81337010080","6236","9546",0,"MF15","A0B","COVER,FLYWHEEL","00527",20240516,1000,20,20,,"T"
0,"69J1531110CA80","3525","9550",0,"MF10","AD2","PAN,OIL","00774",20240516,1000,10,10,,"T"
0,"6CB11411000080","9182","9832",0,"MF36","BC1","CRANKSHAFT,1","00667",20240516,1000,36,36,,"T"
0,"6G511411020080","93B5","9835",0,"MF36","BD3","CRANK,SHAFT 1","00288",20240516,1000,20,20,,"T"
0,"6CJ14200020080","0161","9847",0,"MF32","BED","INTAKE ASSY.","00283",20240516,1000,12,12,,"T"
0,"6P281337020080","6451","9543",0,"MF15","A0A","COVER,FLYWHEEL","00257",20240516,1600,30,30,,"T2"
0,"6CE42741028D80","7510","9543",0,"MF20","A0A","APRON 1","00981",20240516,1600,30,30,,"T2"
0,"6CE42771028D80","7510","9543",0,"MF20","A0A","APRON 2","00981",20240516,1600,30,30,,"T2"
0,"63P82314010080","6451","9546",0,"MF15","A0B","COVER,IGNITION COIL","00704",20240516,1600,40,40,,"T2"
0,"6DA82314010080","6451","9546",0,"MF15","A0B","COVER,IGNITION COIL","00059",20240516,1600,40,40,,"T2"
0,"63P81337110080","6451","9546",0,"MF15","A0B","COVER,FLYWHEEL","00674",20240516,1600,40,40,,"T2"
0,"6DA81337010080","6451","9546",0,"MF15","A0B","COVER,FLYWHEEL","00044",20240516,1600,40,40,,"T2"
0,"69J4113111CA80","6298","9550",0,"MF10","AD2","MANIFOLD, EXT. 1","00775",20240516,1600,10,10,,"T2"
0,"69J4113710CA80","6298","9550",0,"MF10","AD2","GUIDE, EXHAUST","00775",20240516,1600,10,10,,"T2"
0,"6G54113702CA80","6298","9553",0,"MF10","AG2","GUIDE, EXHAUST","00814",20240516,1600,20,20,,"T2"
0,"6KNY161A000080","9856","9832",0,"MF35","BC1","HEAD CYL.1 ASSY.","00281",20240516,1600,10,10,,"T2"
0,"6KNY162A000080","9856","9832",0,"MF35","BC1","HEAD CYL.2 ASSY.","00281",20240516,1600,10,10,,"T2"
0,"6G581337000080","6451","9836",0,"MF31","BH2","COVER,FLYWHEEL","00692",20240516,1600,20,20,,"T2"
0,"6C514200030080","0161","9847",0,"MF32","BED","INTAKE ASSY.","00107",20240516,1600,20,20,,"T2"
0,"6CJ14200020080","0161","9847",0,"MF32","BED","INTAKE ASSY.","00284",20240516,1600,28,28,,"T2"
0,"6P245511010080","93B4","9523",0,"MF16","AC1","SHAFT,DRIVE 1","00761",20240516,1500,30,30,,"T"
0,"69J45611000080","93B4","9523",0,"MF16","AC1","SHAFT, PROPELLER","00077",20240516,1500,30,30,,"T"
0,"6CB45611000080","93B4","9523",0,"MF16","AC1","SHAFT,PROPELLER","00947",20240516,1500,80,80,,"T"
0,"63P45511010080","93B4","9529",0,"MF16","AF1","SHAFT,DRIVE 1","00828",20240516,1500,14,14,,"T"
0,"63P45511110080","93B4","9529",0,"MF16","AF1","SHAFT,DRIVE 1","00302",20240516,1500,23,23,,"T"
0,"64D1472120CA80","3525","9530",0,"MF11","AG3","MUFF.2","00568",20240516,1500,20,20,,"T"
0,"6EK4311100CE80","3525","9542",0,"MF10","AJ4","BRACKET,CLAMP(1)","00120",20240516,1500,23,23,,"T"
