"íxÇÍì˙êî","ïiñ⁄î‘çÜ","ãüããé“","égópé“","êÊçsÇkÅ^Çs","ÇoÅ^ÇeÅiëóÇËêÊÅj","äiî[ÉçÉP","ïiñ⁄ñºèÃ","ÉIÅ[É_Å[ÇmÇè","éwé¶ì˙","î[ì¸éûçè","éwé¶êîó ","écêîó ","ê∂ééãÊï™","type"
0,"6P281337020080","6451","9543",0,"MF15","A0A","COVER,FLYWHEEL","00276",20240619,1600,30,30,,"T2"
0,"6CE42741028D80","7510","9543",0,"MF20","A0A","APRON 1","00001",20240619,1600,30,30,,"T2"
0,"6CE42771028D80","7510","9543",0,"MF20","A0A","APRON 2","00001",20240619,1600,30,30,,"T2"
0,"63P82314010080","6451","9546",0,"MF15","A0B","COVER,IGNITION COIL","00720",20240619,1600,50,50,,"T2"
0,"63P81337110080","6451","9546",0,"MF15","A0B","COVER,FLYWHEEL","00690",20240619,1600,50,50,,"T2"
0,"6KNY161A000080","9856","9832",0,"MF35","BC1","HEAD CYL.1 ASSY.","00297",20240619,1600,10,10,,"T2"
0,"6KNY162A000080","9856","9832",0,"MF35","BC1","HEAD CYL.2 ASSY.","00297",20240619,1600,10,10,,"T2"
0,"6FP14200030080","0161","9847",0,"MF32","BED","INTAKE ASSY.","00927",20240619,1600,20,20,,"T2"
0,"6C514200030080","0161","9847",0,"MF32","BED","INTAKE ASSY.","00127",20240619,1600,20,20,,"T2"
0,"69J1531110CA80","3525","9550",0,"MF10","AD2","PAN,OIL","00803",20240619,1500,30,30,,"T"
0,"6CB11411000080","9182","9832",0,"MF36","BC1","CRANKSHAFT,1","00705",20240619,1500,84,84,,"T"
0,"6P2Y1A4A100080","9182","9832",0,"MF36","BC1","CRANKSHAFT ASSY.,1","00736",20240619,1500,30,30,,"T"
0,"6GR11411010080","9182","9832",0,"MF36","BC1","CRANKSHAFT,1","00251",20240619,1500,10,10,,"T"
0,"6DAY1A4A000080","9182","9835",0,"MF36","BD1","CRANKSHAFT ASSY.,1","00139",20240619,1500,18,18,,"T"
0,"6EK11411010080","9182","9835",0,"MF36","BD1","CRANKSHAFT,1","00270",20240619,1500,51,51,,"T"
0,"6C511411100080","9182","9844",0,"MF36","BEA","CRANKSHAFT,1","00252",20240619,1500,40,40,,"T"
0,"69W11411100080","9182","9844",0,"MF36","BEA","CRANKSHAFT,1","00386",20240619,1500,30,30,,"T"
0,"6KAY427E008D80","9194","9543",0,"MF20","A0A","APRON 1 COMP. ASSY","00145",20240619,1200,12,12,,"T4"
0,"6KAY427H008D80","9194","9543",0,"MF20","A0A","APRON 2 COMP. ASSY","00145",20240619,1200,12,12,,"T4"
0,"6KAY427E00CE80","9194","9543",0,"MF20","A0A","APRON 1 COMP. ASSY","00211",20240619,1200,38,38,,"T4"
0,"6KAY427H00CE80","9194","9543",0,"MF20","A0A","APRON 2 COMP. ASSY","00211",20240619,1200,38,38,,"T4"
0,"6GRY427E00CE80","9194","9543",0,"MF20","A0A","APRON 1 COMP. ASSY","00042",20240619,1200,10,10,,"T4"
0,"6GRY427H00CE80","9194","9543",0,"MF20","A0A","APRON 2 COMP. ASSY","00042",20240619,1200,10,10,,"T4"
0,"6GR4514100CE80","9194","9543",0,"MF20","A0A","COVER UPPER CASING COMP.","00042",20240619,1200,10,10,,"T4"
0,"6KNY426J00CE80","9194","9543",0,"MF20","A0A","REAR PANEL ASSY","00231",20240619,1200,10,10,,"T4"
0,"6EKY426A000080","9194","9546",0,"MF21","A0B","TOP COWLING ASSY","00072",20240619,1200,20,20,,"T4"
0,"6G4Y426A120080","9194","9546",0,"MF21","A0B","TOP COWLING ASSY","00341",20240619,1700,1,1,,"T4"
0,"6G6Y426A120080","9194","9546",0,"MF21","A0B","TOP COWLING ASSY","00863",20240619,1700,19,19,,"T4"
0,"6DA42741118D80","9194","9546",0,"MF21","A0B","APRON 1","00204",20240619,1700,20,20,,"T4"
0,"6EK42741008D80","9194","9546",0,"MF21","A0B","APRON 1","00114",20240619,1200,20,20,,"T4"
0,"6KA42710008D80","9194","9551",0,"MF10","AD3","BOTTOM COWLING ASSY","00847",20240619,1200,5,5,,"T4"
0,"6KA42710008D80","9194","9551",0,"MF10","AD3","BOTTOM COWLING ASSY","00848",20240619,1700,3,3,,"T4"
0,"6KA4271000CE80","9194","9551",0,"MF10","AD3","BOTTOM COWLING ASSY","00635",20240619,1200,25,25,,"T4"
0,"6KA4271000CE80","9194","9551",0,"MF10","AD3","BOTTOM COWLING ASSY","00636",20240619,1700,57,57,,"T4"
0,"6CB42710008D80","9194","9551",0,"MF10","AD3","BOTTOM COWLING ASSY","00734",20240619,1200,30,30,,"T4"
0,"6LH42710008D80","9194","9554",0,"MF10","AG3","BOTTOM COWLING ASSY","00598",20240619,1700,4,4,,"T4"
0,"6LH4271000CE80","9194","9554",0,"MF10","AG3","BOTTOM COWLING ASSY","00527",20240619,1700,9,9,,"T4"
0,"6LH4271000CJ80","9194","9554",0,"MF10","AG3","BOTTOM COWLING ASSY","00039",20240619,1700,7,7,,"T4"
0,"6CY42610210080","9194","9567",0,"MF22","A0C","TOP COWLING ASSY.","00646",20240619,1700,6,6,,"T4"
0,"6C1Y426A710080","9194","9567",0,"MF22","A0C","TOP COWLING ASSY","00454",20240619,1700,30,30,,"T4"
0,"6CJY426A030080","9194","9567",0,"MF22","A0C","TOP COWLING ASSY","00391",20240619,1700,4,4,,"T4"
0,"6FP42610030080","9194","9567",0,"MF22","A0C","TOP COWLING ASSY.","00334",20240619,1200,10,10,,"T4"
0,"6HV42610030080","9194","9567",0,"MF22","A0C","TOP COWLING ASSY.","00089",20240619,1200,7,7,,"T4"
0,"6FPY426A000080","9194","9567",0,"MF22","A0C","TOP COWLING ASSY","00555",20240619,1200,1,1,,"T4"
0,"6FPY426A100080","9194","9567",0,"MF22","A0C","TOP COWLING ASSY","00240",20240619,1200,10,10,,"T4"
0,"6HWY426A000080","9194","9567",0,"MF22","A0C","TOP COWLING ASSY","00302",20240619,1200,2,2,,"T4"
0,"6FP42741008D80","9194","9567",0,"MF22","A0C","APRON 1","00239",20240619,1200,30,30,,"T4"
0,"6FJ42610020080","2721","9543",0,"MF20",,"TOP COWLING ASSY.","00542",20240619,1600,30,30,,"T"
0,"6JD42610010080","2721","9543",0,"MF20",,"TOP COWLING ASSY.","00593",20240619,1600,18,18,,"T"
0,"6KN4261000CE80","2721","9543",0,"MF20",,"TOP COWLING ASSY","00260",20240619,1100,10,10,,"T"
0,"6KNY427B00CE80","2721","9543",0,"MF20",,"COWLING,BOTTOM 2 SUB ASSY","00260",20240619,1100,10,10,,"T"
0,"6KNY427M00CE80","2721","9543",0,"MF20",,"COWLING,BOTTOM 3 SUB ASSY","00260",20240619,1100,10,10,,"T"
0,"69J42741008D80","3525","9543",0,"MF20","A0A","APRON 1","00018",20240619,1600,30,30,,"T"
0,"69J42771008D80","3525","9543",0,"MF20","A0A","APRON 2","00018",20240619,1600,30,30,,"T"
0,"6MLY426A01CE80","2721","9543",0,"MF20",,"TOP COWLING ASSY","00135",20240619,1100,38,38,,"T"
0,"6MLY426A018D80","2721","9543",0,"MF20",,"TOP COWLING ASSY","00092",20240619,1100,12,12,,"T"
0,"6CGY426A068D80","2721","9543",0,"MF20",,"TOP COWLING ASSY","00039",20240619,1600,12,12,,"T"
0,"6BM42610028D80","2721","9546",0,"MF21",,"TOP COWLING ASSY","00113",20240619,1600,20,20,,"T"
0,"6KA42401200080","946X","9552",0,"MF10","AD4","POWER STRG. CYL. ASSY.","00655",20240619,900,20,20,,"T"
0,"6KA42401200080","946X","9552",0,"MF10","AD4","POWER STRG. CYL. ASSY.","00656",20240619,1100,52,52,,"T"
0,"6KA42401200080","946X","9552",0,"MF10","AD4","POWER STRG. CYL. ASSY.","00657",20240619,1600,30,30,,"T"
0,"63P13411000080","8806","9553",0,"MF11","AG2","STRAINER,OIL","00774",20240619,1600,20,20,,"T"
0,"6P213300000080","3544","9832",0,"MF30","BC1","OIL PUMP ASSY.","00176",20240619,1600,30,30,,"T"
0,"6GR86120000080","3544","9832",0,"MF30","BC1","SOLENOID VALVE ASSY.","00322",20240619,1600,20,20,,"T"
0,"6MLY161A000080","9856","9832",0,"MF35","BC1","HEAD CYL.1 ASSY.","00177",20240619,1100,30,30,,"T"
0,"6MLY161A000080","9856","9832",0,"MF35","BC1","HEAD CYL.1 ASSY.","00178",20240619,1400,20,20,,"T"
0,"6MLY162A000080","9856","9832",0,"MF35","BC1","HEAD CYL.2 ASSY.","00177",20240619,1100,30,30,,"T"
0,"6MLY162A000080","9856","9832",0,"MF35","BC1","HEAD CYL.2 ASSY.","00178",20240619,1400,20,20,,"T"
0,"6P2Y161A060080","9856","9832",0,"MF35","BC1","HEAD CYL.1 ASSY.","00839",20240619,1600,30,30,,"T"
0,"6P2Y162A060080","9856","9832",0,"MF35","BC1","HEAD CYL.2 ASSY.","00839",20240619,1600,30,30,,"T"
0,"6P212618220080","3544","9832",0,"MF30","BC3","PULLEY,1","00176",20240619,1600,60,60,,"T"
0,"6KWY161A010080","9856","9832",0,"MF35","BC1","HEAD CYL.1 ASSY.","00075",20240619,1600,11,11,,"T"
0,"6KWY162A010080","9856","9832",0,"MF35","BC1","HEAD CYL.2 ASSY.","00075",20240619,1600,11,11,,"T"
0,"6CB12618010080","3544","9832",0,"MF30","BC1","PULLEY,1","00502",20240619,1400,20,20,,"T"
0,"6CB12618010080","3544","9832",0,"MF30","BC1","PULLEY,1","00503",20240619,1600,10,10,,"T"
0,"6CB12619010080","3544","9832",0,"MF30","BC1","PULLEY,2","00502",20240619,1400,20,20,,"T"
0,"6CB12619010080","3544","9832",0,"MF30","BC1","PULLEY,2","00503",20240619,1600,10,10,,"T"
0,"6GR13300010080","3544","9832",0,"MF30","BC1","OIL PUMP ASSY.","00272",20240619,1600,10,10,,"T"
0,"6CB86120000080","3544","9832",0,"MF30","BC1","SOLENOID VALVE ASSY.","00704",20240619,1400,40,40,,"T"
0,"6CB86120000080","3544","9832",0,"MF30","BC1","SOLENOID VALVE ASSY.","00705",20240619,1600,80,80,,"T"
0,"6CB13300000080","3544","9832",0,"MF30","BC1","OIL PUMP ASSY.","00581",20240619,1400,20,20,,"T"
0,"6CB13300000080","3544","9832",0,"MF30","BC1","OIL PUMP ASSY.","00582",20240619,1600,10,10,,"T"
0,"6GR13751000080","3544","9834",0,"MF30","BG1","BODY,THROTTLE","00176",20240619,1600,50,50,,"T"
0,"6ML13641000080","3544","9834",0,"MF30","BG1","MANIFOLD,INTAKE 1","00176",20240619,1600,100,100,,"T"
0,"6GR13641000080","3544","9834",0,"MF30","BG1","MANIFOLD,INTAKE 1","00776",20240619,1600,20,20,,"T"
0,"6CB13751110080","3544","9834",0,"MF30","BG2","BODY,THROTTLE","00628",20240619,1400,19,19,,"T"
0,"6CE13641000080","3544","9834",0,"MF30","BG1","MANIFOLD,INTAKE 1","00891",20240619,1400,42,42,,"T"
0,"6CB14180170080","3544","9834",0,"MF30","BG2","FLOAT CHAMBER ASSY.","00330",20240619,1400,19,19,,"T"
0,"6CB86120000080","3544","9835",0,"MF31","BD4","SOLENOID VALVE ASSY.","00157",20240619,1600,30,30,,"T"
0,"6P212618220080","3544","9835",0,"MF31","BD4","PULLEY,1","00665",20240619,1600,30,30,,"T"
0,"6DAY118B030080","9856","9835",0,"MF35","BD3","HEAD CYL.ASSY.","00371",20240619,1600,30,30,,"T"
0,"6DA8A410020080","3544","9836",0,"MF31",,"SENSOR UNIT","00573",20240619,1600,10,10,,"T"
0,"6EKY151S01YY80","9840","9844",0,"MF35",,"CRANKCASE ASSY","00953",20240619,1400,12,12,,"T"
0,"6EKY151S01YY80","9840","9844",0,"MF35",,"CRANKCASE ASSY","00954",20240619,1600,6,6,,"T"
0,"6EMY118B020080","9856","9844",0,"MF35","BEC","HEAD CYL.ASSY.","00793",20240619,1400,12,12,,"T"
0,"6EMY118B020080","9856","9844",0,"MF35","BEC","HEAD CYL.ASSY.","00794",20240619,1600,6,6,,"T"
0,"6C5Y118B100080","9856","9844",0,"MF35","BEC","HEAD CYL.ASSY.","00633",20240619,1600,20,20,,"T"
0,"6EM8A410000080","3544","9847",0,"MF32",,"SENSOR UNIT","00054",20240619,1600,20,20,,"T"
0,"6DA11311009S80","9515","9853",1,"MF37","BA2","BODY,CYLINDER 1","00851",20240619,1600,54,54,,"D"
0,"6CE15111009S80","9515","9853",2,"MF37","BA3","CRANKCASE,1","00478",20240619,1600,256,256,,"D"
0,"6DA15111029S80","9515","9853",2,"MF37","BA2","CRANKCASE,1","00481",20240619,1600,75,75,,"D"
0,"6CE1131111YY80","9840","9853",1,"MF37","BA1","BODY,CYLINDER 1","00793",20240619,1600,126,54,,"D"
0,"6C5Y151S000080","986A","9862",1,"MF37",,"CRANKCASE ASSY","00975",20240619,1600,240,240,,"D"
0,"6CJY151S000080","986A","9862",1,"MF37",,"CRANKCASE ASSY","00804",20240619,1600,60,60,,"D"
0,"4P983591000080","3624","9834",1,"MF30",,"THERM.UNIT","00313",20240619,1100,10,10,,"D"
0,"60H15110040080","1056","9862",2,"MF37",,"CRANKCASE ASSY.,1","00198",20240619,1100,68,68,,"D"
0,"60V8366D000080","7705","9821",3,"MF15","A0P","CONNECTOR 3","00542",20240619,1400,9,9,,"D"
0,"61A82563010080","0121","9525",1,"MF19","AE2","TRIM & TILT SWITCH","00316",20240619,1100,20,20,,"D"
0,"63P11192010080","8806","9546",1,"MF15",,"COVER,CYLINDER HEAD 2","00676",20240619,1500,50,50,,"D"
0,"63P11650100080","1120","9835",1,"MF36","BD1","CONN. ROD ASSY.,1","00214",20240619,1100,30,30,,"D"
0,"63P41137060080","6298","9519",0,"MF09",,"GUIDE,EXHAUST","00446",20240619,1500,30,30,,"D"
0,"63P42815118D80","3525","9525",1,"MF14",,"LEVER,CLAMP 1","00548",20240619,1500,20,20,,"D"
0,"63P45111000080","6298","9520",1,"MF01","AA1","CASING, UPPER","00350",20240619,1400,30,30,,"D"
0,"63PY118P100080","9856","9821",1,"MF15","A0P","HEAD CYL. ASSY.","00059",20240619,1500,7,7,,"D"
0,"69J14711009S80","9515","9550",1,"MF10","AD2","MUFFLER 1","00702",20240619,1500,30,30,,"D"
0,"69J44118000080","3525","9525",1,"MF14","AE2","BRKT.2","00840",20240619,1500,100,100,,"D"
0,"69J82563010080","0121","9525",1,"MF19","AE2","TRIM & TILT SWITCH","00431",20240619,1100,235,235,,"D"
0,"6A082317010080","6463","9543",2,"MF15","A0A","DAMPER,IGNITION COIL","00499",20240619,1500,50,50,,"D"
0,"6A082317010080","6463","9567",2,"MF15",,"DAMPER,IGNITION COIL","00154",20240619,1500,140,140,,"D"
0,"6AH2818N000080","2867","9543",1,"MF15","A0A","TAG,CAUTION","00971",20240619,1500,500,500,,"D"
0,"6AW44366010080","6463","9821",3,"MF15","A0P","RUB.,WATER SEAL 2","00720",20240619,1500,14,14,,"D"
0,"6AW45373000080","941E","9821",3,"MF15","A0P","ANODE,1","00631",20240619,1500,4,4,,"D"
0,"6BG42748010080","6463","9546",2,"MF15","A0B","GROMMET","00752",20240619,1500,100,100,,"D"
0,"6BR82563010080","0121","9525",1,"MF19","AE2","TRIM & TILT SWITCH","00384",20240619,1100,15,15,,"D"
0,"6C511650100080","1120","9844",1,"MF36","BEA","CONN. ROD ASSY.,1","00668",20240619,1200,288,288,,"D"
0,"6C5153110100MA","8493","9519",0,"MF09",,"PAN,OIL","00857",20240619,1400,70,70,,"D"
0,"6C54113100CA80","3525","9525",1,"MF19","AE2","MANIFOLD,EXT. 1","00705",20240619,1500,60,60,,"D"
0,"6C541137030080","6298","9519",0,"MF09",,"GUIDE,EXHAUST","00850",20240619,1400,70,70,,"D"
0,"6C545111000080","8478","9520",1,"MF01","AA1","CASING, UPPER","00382",20240619,1400,96,96,,"D"
0,"6C545155020080","6463","9567",1,"MF15",,"CAP","00100",20240619,1500,200,200,,"D"
0,"6C5Y118P190080","9856","9821",1,"MF15","A0P","HEAD CYL. ASSY.","00130",20240619,1500,2,2,,"D"
0,"6CB1135A000080","3525","9832",2,"MF30","BCS","BRKT.","00099",20240619,1500,160,160,,"D"
0,"6CB11650100080","1120","9832",1,"MF36",,"CONN. ROD ASSY.,1","00267",20240619,1200,660,660,,"D"
0,"6CB11650100080","1120","9835",1,"MF36","BD3","CONN. ROD ASSY.,1","00949",20240619,1200,110,110,,"D"
0,"6CB14440010080","8806","9851",1,"MF34",,"SILENCER ASSY.","00804",20240619,1100,120,120,,"D"
0,"6CB15187000080","4921","9853",2,"MF37","BA1","BOLT","00531",20240619,1100,1650,1650,,"D"
